endpoint,category,method_hint,source_path,source_url,observed_status,context
/api/uploads/{id}/in-rich-content?created_at=2026-05-21T06{param}{param},uploads,UNKNOWN,raw/iclass.tku.edu.tw/api/bulletins/latest.json,https://iclass.tku.edu.tw/api/bulletins/latest,,absolute-url
/api/uploads/{id}/in-rich-content?created_at=2026-05-21T06{param}{param},uploads,UNKNOWN,raw/iclass.tku.edu.tw/api/course-bulletins.json,https://iclass.tku.edu.tw/api/course-bulletins,,absolute-url
https://iclass.tku.edu.tw/api/uploads/{id}/modified-image?thumbnail=700x380,uploads,UNKNOWN,raw/iclass.tku.edu.tw/api/courses/public.json,https://iclass.tku.edu.tw/api/courses/public,,"hreshold"":null,""upload_certification"":null},""small_cover"":"""",""start_date"":""2026-02-01""},{""classroom_schedule"":"""",""course_attributes"":{""student_count"":1977},""course_public_settings"":{""sign_up_charge_amount"":null},""cover"":""https://iclass.tku.edu.tw/api/uploads/22633815/modified-image?thumbnail=700x380"",""created_user"":{""id"":5,""name"":""[REDACTED_NAME]""},""credit_state"":null,""display_name"":""\u6027\u5225\u5e73\u7b49\u591a\u5143\u8ab2\u7a0b"",""end_date"":null,""id"":258757,""instructors"":[{""avatar_small_ur"
"https://iclass.tku.edu.tw/api/uploads/{id}/modified-image?thumbnail=32x32&crop_box=1,5,1080,1084",uploads,UNKNOWN,raw/iclass.tku.edu.tw/api/courses/public.json,https://iclass.tku.edu.tw/api/courses/public,,"thumbnail=700x380"",""created_user"":{""id"":5,""name"":""[REDACTED_NAME]""},""credit_state"":null,""display_name"":""\u6027\u5225\u5e73\u7b49\u591a\u5143\u8ab2\u7a0b"",""end_date"":null,""id"":258757,""instructors"":[{""avatar_small_url"":""https://iclass.tku.edu.tw/api/uploads/396173/modified-image?thumbnail=32x32&crop_box=1,5,1080,1084"",""id"":51860,""name"":""[REDACTED_NAME]""},{""avatar_small_url"":"""",""id"":68573,""name"":""[REDACTED_NAME]""}],""is_closed"":false,""is_started"":true,""name"":""\u6027\u5225\u5e73\u7b49\u591a\"
https://iclass.tku.edu.tw/api/uploads/{id}/modified-image?thumbnail=350x190,uploads,UNKNOWN,raw/iclass.tku.edu.tw/api/courses/public.json,https://iclass.tku.edu.tw/api/courses/public,,"ication_id"":0,""certification_identity"":null,""certification_title"":null,""course_id"":0,""id"":0,""issue_no"":null,""open_certification"":null,""project_name"":null,""study_threshold"":null,""upload_certification"":null},""small_cover"":""https://iclass.tku.edu.tw/api/uploads/22633815/modified-image?thumbnail=350x190"",""start_date"":""2025-11-21""},{""classroom_schedule"":"""",""course_attributes"":{""student_count"":1076},""course_public_settings"":{""sign_up_charge_amount"":null},""cover"":""https://iclass.tku.edu.tw/api/uploads/"
"https://iclass.tku.edu.tw/api/uploads/{id}/modified-image?thumbnail=32x32&crop_box=15,19,129,133",uploads,UNKNOWN,raw/iclass.tku.edu.tw/api/courses/public.json,https://iclass.tku.edu.tw/api/courses/public,,"u6de1\u78b3\u884c\u52d5\u734e"",""end_date"":null,""id"":240020,""instructors"":[{""avatar_small_url"":"""",""id"":86009,""name"":""[REDACTED_NAME]""},{""avatar_small_url"":"""",""id"":38090,""name"":""[REDACTED_NAME]""},{""avatar_small_url"":""https://iclass.tku.edu.tw/api/uploads/4451/modified-image?thumbnail=32x32&crop_box=15,19,129,133"",""id"":38459,""name"":""[REDACTED_NAME]""}],""is_closed"":false,""is_started"":true,""name"":""[REDACTED_NAME]"",""org"":{""flag"":0,""name"":""[REDACTED_NAME]""},""public_scope"
"https://iclass.tku.edu.tw/api/uploads/{id}/modified-image?thumbnail=32x32&crop_box=76,18,706,648",uploads,UNKNOWN,raw/iclass.tku.edu.tw/api/courses/public.json,https://iclass.tku.edu.tw/api/courses/public,,"g"",""created_user"":{""id"":5,""name"":""[REDACTED_NAME]""},""credit_state"":null,""display_name"":""iClass \u6559\u80b2\u8a13\u7df4 (\u6559\u8077\u54e1\u9650\u5b9a)"",""end_date"":null,""id"":240019,""instructors"":[{""avatar_small_url"":""https://iclass.tku.edu.tw/api/uploads/14943247/modified-image?thumbnail=32x32&crop_box=76,18,706,648"",""id"":95786,""name"":""tkuadmin""},{""avatar_small_url"":""https://iclass.tku.edu.tw/api/uploads/4539403/modified-image?thumbnail=32x32"",""id"":17486,""name"":""[REDACTED_NAME]""}],""is_clo"
https://iclass.tku.edu.tw/api/uploads/{id}/modified-image?thumbnail=32x32,uploads,UNKNOWN,raw/iclass.tku.edu.tw/api/courses/public.json,https://iclass.tku.edu.tw/api/courses/public,,"a)"",""end_date"":null,""id"":240019,""instructors"":[{""avatar_small_url"":""https://iclass.tku.edu.tw/api/uploads/14943247/modified-image?thumbnail=32x32&crop_box=76,18,706,648"",""id"":95786,""name"":""tkuadmin""},{""avatar_small_url"":""https://iclass.tku.edu.tw/api/uploads/4539403/modified-image?thumbnail=32x32"",""id"":17486,""name"":""[REDACTED_NAME]""}],""is_closed"":false,""is_started"":true,""name"":""iClass \u6559\u80b2\u8a13\u7df4 (\u6559\u8077\u54e1\u9650\u5b9a)"",""org"":{""flag"":0,""name"":""[REDACTED_NAME]""}"
"https://iclass.tku.edu.tw/api/uploads/{id}/modified-image?thumbnail=32x32&crop_box=57,65,567,575",uploads,UNKNOWN,raw/iclass.tku.edu.tw/api/courses/public.json,https://iclass.tku.edu.tw/api/courses/public,,"t_state"":null,""display_name"":""\u7e3d\u52d9\u8655(\u542b\u74b0\u5b89)\u76f8\u95dc\u7814\u7fd2"",""end_date"":null,""id"":170015,""instructors"":[{""avatar_small_url"":"""",""id"":23771,""name"":""[REDACTED_NAME]""},{""avatar_small_url"":""https://iclass.tku.edu.tw/api/uploads/6829316/modified-image?thumbnail=32x32&crop_box=57,65,567,575"",""id"":33734,""name"":""[REDACTED_NAME]""}],""is_closed"":false,""is_started"":true,""name"":""[REDACTED_NAME]"",""org"":{""flag"":0,""name"":""\u6de"
"https://iclass.tku.edu.tw/api/uploads/{id}/modified-image?thumbnail=32x32&crop_box=3,0,99,96",uploads,UNKNOWN,raw/iclass.tku.edu.tw/api/courses/public.json,https://iclass.tku.edu.tw/api/courses/public,,"u7406\u54e1""},""credit_state"":null,""display_name"":""\u54c1\u4fdd\u8655\u76f8\u95dc\u7814\u7fd2"",""end_date"":null,""id"":122209,""instructors"":[{""avatar_small_url"":"""",""id"":50789,""name"":""[REDACTED_NAME]""},{""avatar_small_url"":""https://iclass.tku.edu.tw/api/uploads/104/modified-image?thumbnail=32x32&crop_box=3,0,99,96"",""id"":5,""name"":""[REDACTED_NAME]""},{""avatar_small_url"":"""",""id"":249736,""name"":""[REDACTED_NAME]""},{""avatar_small_url"":"""",""id"":36941,""name"":""[REDACTED_NAME]""},{""avatar_small_url"":"""","
