route,category,source_path,source_url,context
/org/global-config,org,raw/iclass.tku.edu.tw/course.html,https://iclass.tku.edu.tw/course," = {};
    let MULTIMEDIA = {};
    if (!window?.isConfigLoaded) {
        window.isConfigLoaded = false;
    }
    const getConfig = function(){
        fetch('/org/global-config')
            .then(response => response.json())
            .then((res) => {
                    sentryClientKey = res.sentry_client_key;
                    C"
/user/sites-menu,user,raw/iclass.tku.edu.tw/course.html,https://iclass.tku.edu.tw/course,"'ta-IN': 'தமிழ்', 'pt-PT': 'Português', 'ko-KR': '한국어'};"" ng-cloak>

            <div class=""sites-menu-entry left hide-in-small-size"">
                <a href=""/user/sites-menu"">
                <span>
                <i class=""icon icon-sites-menu""></i>
                </span>
                </a>
            </div>
        <div class"
/public-course#/all,public-course,raw/iclass.tku.edu.tw/course.html,https://iclass.tku.edu.tw/course,">
    <li class=""public-course autocollapse-item"" ng-class=""{'margin-left-shorter': lang.indexOf('en') == 0}"">
        <a class=""resources header-item"" ng-href=""/public-course#/all"">
            發現課程
        </a>
    </li>














            <ul class=""menu layout-menu"">





<li class=""header-item hide-in-small-size hide-in-middle-"
/user/index,user,raw/iclass.tku.edu.tw/course.html,https://iclass.tku.edu.tw/course,"
    <ul ng-mouseleave=""ui.inNavigationList=false"" ng-mouseenter=""ui.inNavigationList=true"">
        <li class=""gtm-label"" data-label=""首页"">
            <a href=""/user/index"" target=""_self"">首頁</a>
        </li>

        <li class=""gtm-label"" data-label=""我的课程"">
            <a href=""/user/courses"" target=""_self"">我的課程</a>
        </li>"
/user/courses,user,raw/iclass.tku.edu.tw/course.html,https://iclass.tku.edu.tw/course,"l"" data-label=""首页"">
            <a href=""/user/index"" target=""_self"">首頁</a>
        </li>

        <li class=""gtm-label"" data-label=""我的课程"">
            <a href=""/user/courses"" target=""_self"">我的課程</a>
        </li>

        <li class=""gtm-label"" data-label=""我的资源"">
            <a href=""/user/resources/files"" target=""_self"">
           "
/user/resources/files,user,raw/iclass.tku.edu.tw/course.html,https://iclass.tku.edu.tw/course,"a-label=""我的课程"">
            <a href=""/user/courses"" target=""_self"">我的課程</a>
        </li>

        <li class=""gtm-label"" data-label=""我的资源"">
            <a href=""/user/resources/files"" target=""_self"">
                我的資源
            </a>
        </li>
    </ul>
</div></li>
<li class=""header-item hide-in-small-size hide-in-middle-size text-ti"
/user/settings,user,raw/iclass.tku.edu.tw/course.html,https://iclass.tku.edu.tw/course,"""
            has-second-level-menu expand-left=""1"">
                <li class=""operation operation-view-profile dropdown-item"">
                    <a ng-href=""/user/settings"" target=""_self"">個人設定</a>
                </li>
            <li class=""operation operation-view-profile dropdown-item"">
                    <a href=""javascript:v"
/org/global-config,org,raw/iclass.tku.edu.tw/course-advance-setting.html,https://iclass.tku.edu.tw/course-advance-setting," = {};
    let MULTIMEDIA = {};
    if (!window?.isConfigLoaded) {
        window.isConfigLoaded = false;
    }
    const getConfig = function(){
        fetch('/org/global-config')
            .then(response => response.json())
            .then((res) => {
                    sentryClientKey = res.sentry_client_key;
                    C"
/user/sites-menu,user,raw/iclass.tku.edu.tw/course-advance-setting.html,https://iclass.tku.edu.tw/course-advance-setting,"'ta-IN': 'தமிழ்', 'pt-PT': 'Português', 'ko-KR': '한국어'};"" ng-cloak>

            <div class=""sites-menu-entry left hide-in-small-size"">
                <a href=""/user/sites-menu"">
                <span>
                <i class=""icon icon-sites-menu""></i>
                </span>
                </a>
            </div>
        <div class"
/public-course#/all,public-course,raw/iclass.tku.edu.tw/course-advance-setting.html,https://iclass.tku.edu.tw/course-advance-setting,">
    <li class=""public-course autocollapse-item"" ng-class=""{'margin-left-shorter': lang.indexOf('en') == 0}"">
        <a class=""resources header-item"" ng-href=""/public-course#/all"">
            發現課程
        </a>
    </li>














            <ul class=""menu layout-menu"">





<li class=""header-item hide-in-small-size hide-in-middle-"
/user/index,user,raw/iclass.tku.edu.tw/course-advance-setting.html,https://iclass.tku.edu.tw/course-advance-setting,"
    <ul ng-mouseleave=""ui.inNavigationList=false"" ng-mouseenter=""ui.inNavigationList=true"">
        <li class=""gtm-label"" data-label=""首页"">
            <a href=""/user/index"" target=""_self"">首頁</a>
        </li>

        <li class=""gtm-label"" data-label=""我的课程"">
            <a href=""/user/courses"" target=""_self"">我的課程</a>
        </li>"
/user/courses,user,raw/iclass.tku.edu.tw/course-advance-setting.html,https://iclass.tku.edu.tw/course-advance-setting,"l"" data-label=""首页"">
            <a href=""/user/index"" target=""_self"">首頁</a>
        </li>

        <li class=""gtm-label"" data-label=""我的课程"">
            <a href=""/user/courses"" target=""_self"">我的課程</a>
        </li>

        <li class=""gtm-label"" data-label=""我的资源"">
            <a href=""/user/resources/files"" target=""_self"">
           "
