route,category,source_count,source_files,sources_sample
/user/index,user,292,292,raw/iclass.tku.edu.tw/course-advance-setting.html; raw/iclass.tku.edu.tw/course-audits.html; raw/iclass.tku.edu.tw/course-catalog-wrapper.html; raw/iclass.tku.edu.tw/course-classifications.html; raw/iclass.tku.edu.tw/course-completeness__q_ee1eaef797.html; raw/iclass.tku.edu.tw/course-cover.html; raw/iclass.tku.edu.tw/course-credit-setting.html; raw/iclass.tku.edu.tw/course-estimate-wrapper.html; raw/iclass.tku.edu.tw/course-estimates-replies/avatarSmallUrl.html; raw/iclass.tku.edu.tw/course-estimates-replies/capture_url.html
/user/courses,user,281,281,raw/iclass.tku.edu.tw/course-advance-setting.html; raw/iclass.tku.edu.tw/course-audits.html; raw/iclass.tku.edu.tw/course-catalog-wrapper.html; raw/iclass.tku.edu.tw/course-classifications.html; raw/iclass.tku.edu.tw/course-completeness__q_ee1eaef797.html; raw/iclass.tku.edu.tw/course-cover.html; raw/iclass.tku.edu.tw/course-credit-setting.html; raw/iclass.tku.edu.tw/course-estimate-wrapper.html; raw/iclass.tku.edu.tw/course-estimates-replies/avatarSmallUrl.html; raw/iclass.tku.edu.tw/course-estimates-replies/capture_url.html
/user/resources/files,user,280,280,raw/iclass.tku.edu.tw/course-advance-setting.html; raw/iclass.tku.edu.tw/course-audits.html; raw/iclass.tku.edu.tw/course-catalog-wrapper.html; raw/iclass.tku.edu.tw/course-classifications.html; raw/iclass.tku.edu.tw/course-completeness__q_ee1eaef797.html; raw/iclass.tku.edu.tw/course-cover.html; raw/iclass.tku.edu.tw/course-credit-setting.html; raw/iclass.tku.edu.tw/course-estimate-wrapper.html; raw/iclass.tku.edu.tw/course-estimates-replies/avatarSmallUrl.html; raw/iclass.tku.edu.tw/course-estimates-replies/capture_url.html
/org/global-config,org,279,279,raw/iclass.tku.edu.tw/course-advance-setting.html; raw/iclass.tku.edu.tw/course-audits.html; raw/iclass.tku.edu.tw/course-catalog-wrapper.html; raw/iclass.tku.edu.tw/course-classifications.html; raw/iclass.tku.edu.tw/course-completeness__q_ee1eaef797.html; raw/iclass.tku.edu.tw/course-cover.html; raw/iclass.tku.edu.tw/course-credit-setting.html; raw/iclass.tku.edu.tw/course-estimate-wrapper.html; raw/iclass.tku.edu.tw/course-estimates-replies/avatarSmallUrl.html; raw/iclass.tku.edu.tw/course-estimates-replies/capture_url.html
/user/settings,user,277,277,raw/iclass.tku.edu.tw/course-advance-setting.html; raw/iclass.tku.edu.tw/course-audits.html; raw/iclass.tku.edu.tw/course-catalog-wrapper.html; raw/iclass.tku.edu.tw/course-classifications.html; raw/iclass.tku.edu.tw/course-completeness__q_ee1eaef797.html; raw/iclass.tku.edu.tw/course-cover.html; raw/iclass.tku.edu.tw/course-credit-setting.html; raw/iclass.tku.edu.tw/course-estimate-wrapper.html; raw/iclass.tku.edu.tw/course-estimates-replies/avatarSmallUrl.html; raw/iclass.tku.edu.tw/course-estimates-replies/capture_url.html
/user/sites-menu,user,276,276,raw/iclass.tku.edu.tw/course-advance-setting.html; raw/iclass.tku.edu.tw/course-audits.html; raw/iclass.tku.edu.tw/course-catalog-wrapper.html; raw/iclass.tku.edu.tw/course-classifications.html; raw/iclass.tku.edu.tw/course-completeness__q_ee1eaef797.html; raw/iclass.tku.edu.tw/course-cover.html; raw/iclass.tku.edu.tw/course-credit-setting.html; raw/iclass.tku.edu.tw/course-estimate-wrapper.html; raw/iclass.tku.edu.tw/course-estimates-replies/avatarSmallUrl.html; raw/iclass.tku.edu.tw/course-estimates-replies/capture_url.html
/public-course#/all,public-course,275,275,raw/iclass.tku.edu.tw/course-advance-setting.html; raw/iclass.tku.edu.tw/course-audits.html; raw/iclass.tku.edu.tw/course-catalog-wrapper.html; raw/iclass.tku.edu.tw/course-classifications.html; raw/iclass.tku.edu.tw/course-completeness__q_ee1eaef797.html; raw/iclass.tku.edu.tw/course-cover.html; raw/iclass.tku.edu.tw/course-credit-setting.html; raw/iclass.tku.edu.tw/course-estimate-wrapper.html; raw/iclass.tku.edu.tw/course-estimates-replies/avatarSmallUrl.html; raw/iclass.tku.edu.tw/course-estimates-replies/capture_url.html
/course/,course,183,183,raw/iclass.tku.edu.tw/static/10310.1168e67d.js; raw/iclass.tku.edu.tw/static/10383.d04ce83a.js; raw/iclass.tku.edu.tw/static/10409.3c0dcb73.js; raw/iclass.tku.edu.tw/static/11708.a556fce2.js; raw/iclass.tku.edu.tw/static/12159.899c0f01.js; raw/iclass.tku.edu.tw/static/12308.ea29ac7a.js; raw/iclass.tku.edu.tw/static/12459.b3a383cc.js; raw/iclass.tku.edu.tw/static/14279.f75486f1.js; raw/iclass.tku.edu.tw/static/14433.8da36488.js; raw/iclass.tku.edu.tw/static/14928.4c317cb2.js
/learning-activity#/,learning-activity,58,58,raw/iclass.tku.edu.tw/static/10409.3c0dcb73.js; raw/iclass.tku.edu.tw/static/12159.899c0f01.js; raw/iclass.tku.edu.tw/static/12459.b3a383cc.js; raw/iclass.tku.edu.tw/static/14279.f75486f1.js; raw/iclass.tku.edu.tw/static/17767.aae6c84c.js; raw/iclass.tku.edu.tw/static/18464.45bffd86.js; raw/iclass.tku.edu.tw/static/20152.3ad1066f.js; raw/iclass.tku.edu.tw/static/20807.fed7a5e0.js; raw/iclass.tku.edu.tw/static/25489.a2b39580.js; raw/iclass.tku.edu.tw/static/2562.122fcbdf.js
/course/{id}/content,course,36,36,raw/iclass.tku.edu.tw/course/260584/bulletin.html; raw/iclass.tku.edu.tw/course/260584/classroom.html; raw/iclass.tku.edu.tw/course/260584/content.html; raw/iclass.tku.edu.tw/course/260584/courseware.html; raw/iclass.tku.edu.tw/course/260584/enrollments.html; raw/iclass.tku.edu.tw/course/260584/exam.html; raw/iclass.tku.edu.tw/course/260584/forum.html; raw/iclass.tku.edu.tw/course/260584/group-set.html; raw/iclass.tku.edu.tw/course/260584/homework.html; raw/iclass.tku.edu.tw/course/260584/live-activities.html
