endpoint,category,method_hints,source_count,source_files,sources_sample,observed_statuses
/api/uploads/,uploads,DELETE; GET; POST; PUT; UNKNOWN,257,240,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/courses/,courses,DELETE; GET; OBSERVED_GET; POST; PUT; UNKNOWN,241,109,raw/ilearn.thu.edu.tw/api/courses/index.json; raw/ilearn.thu.edu.tw/static/10035.853f7abc.js; raw/ilearn.thu.edu.tw/static/10257.5f75a4b2.js; raw/ilearn.thu.edu.tw/static/11812.92e9ccfe.js; raw/ilearn.thu.edu.tw/static/12159.7fb514eb.js; raw/ilearn.thu.edu.tw/static/13149-ab088423.js; raw/ilearn.thu.edu.tw/static/13529.d8cb667c.js; raw/ilearn.thu.edu.tw/static/14615.8c38d7d4.js; raw/ilearn.thu.edu.tw/static/14631.e54876b2.js; raw/ilearn.thu.edu.tw/static/15134.740fc306.js,404
/api/course/,course,DELETE; GET; OBSERVED_GET; POST; PUT; UNKNOWN,196,92,raw/ilearn.thu.edu.tw/api/course/index.json; raw/ilearn.thu.edu.tw/static/10257.5f75a4b2.js; raw/ilearn.thu.edu.tw/static/10383.d04ce83a.js; raw/ilearn.thu.edu.tw/static/11812.92e9ccfe.js; raw/ilearn.thu.edu.tw/static/11836.f57019c4.js; raw/ilearn.thu.edu.tw/static/12159.7fb514eb.js; raw/ilearn.thu.edu.tw/static/13149-ab088423.js; raw/ilearn.thu.edu.tw/static/14615.8c38d7d4.js; raw/ilearn.thu.edu.tw/static/15471.49137ee2.js; raw/ilearn.thu.edu.tw/static/16941-c2ecc958.js,404
/api/project/,project,DELETE; GET; OBSERVED_GET; POST; PUT; UNKNOWN,195,191,raw/ilearn.thu.edu.tw/api/project/index.json; raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html,404
/api/shared-resources-to/{expr}/blob,shared-resources-to,UNKNOWN,189,189,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/shared-resources/{expr}/blob,shared-resources,UNKNOWN,189,189,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/uploads/reference/{expr}/blob,uploads,UNKNOWN,189,189,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/uploads/{expr}/blob,uploads,UNKNOWN,189,189,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/uploads/{expr}/blob?preview=true&activity_type={expr},uploads,UNKNOWN,189,189,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/wedrive/file/{expr},wedrive,UNKNOWN,189,189,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/uploads/[[activity.uploads[0].id]]/blob,uploads,UNKNOWN,187,187,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/uploads/{expr}/swf,uploads,UNKNOWN,187,187,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
