kind,source_path,value
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-variable
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-variable
feature_flag,raw/ilearn.thu.edu.tw/index.html,RoleNames
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-id
feature_flag,raw/ilearn.thu.edu.tw/index.html,ScopeId
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-label
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-choice
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope
feature_flag,raw/ilearn.thu.edu.tw/index.html,enable-application-center
feature_flag,raw/ilearn.thu.edu.tw/index.html,enable-iportal-platform-info
feature_flag,raw/ilearn.thu.edu.tw/index.html,Role
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-variable
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-variable
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-variable
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-variable
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-variable
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-variable
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-variable
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableUpdateActivityDatetime
feature_flag,raw/ilearn.thu.edu.tw/index.html,scope-variable
feature_flag,raw/ilearn.thu.edu.tw/index.html,role:
feature_flag,raw/ilearn.thu.edu.tw/index.html,Roles:
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableLoginCheck:
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableLoginRollcallCheck:
feature_flag,raw/ilearn.thu.edu.tw/index.html,featureToggles
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableProgram
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableAuditorCourseRole
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableDingTalkChat
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableSobot
feature_flag,raw/ilearn.thu.edu.tw/index.html,enable_howxm
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableTrainingLevelForAuthzRole
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableHomework
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableExam
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableOnlineVideo
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableLesson
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableMaterial
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableLink
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableForum
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableQuestionnaire
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableSlide
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableCourseSubjectLib
feature_flag,raw/ilearn.thu.edu.tw/index.html,enablePlayer2
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableIndependentCoTeachingPermission
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableKnowledgeReferenceCapture
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableKnowledgeReferencePublicResource
feature_flag,raw/ilearn.thu.edu.tw/index.html,role
feature_flag,raw/ilearn.thu.edu.tw/index.html,enableRubrics
