"source_file","readable_path","source_bytes","readable_bytes","source_lines","readable_lines"
"raw__ilearn.thu.edu.tw__chatbot__chatbot.umd.js","readable_js/raw__ilearn.thu.edu.tw__chatbot__chatbot.umd.pretty.js","6492967","6675844","764","40516"
"js__lms-main-898f71e6.js","readable_js/js__lms-main-898f71e6.pretty.js","214265","435299","1","12063"
"js__main-portal-cc072a5a.js","readable_js/js__main-portal-cc072a5a.pretty.js","234067","372064","1","9580"
"runtime~js__main-portal-86d88036.js","readable_js/runtime~js__main-portal-86d88036.pretty.js","23141","26308","1","331"
"18774-c8d49780.js","readable_js/18774-c8d49780.pretty.js","4612809","4613411","1","80"
"24549.cf667c52.js","readable_js/24549.cf667c52.pretty.js","3621492","3642776","1","828"
"js__mathjax__es5__tex-mml-svg.js","readable_js/js__mathjax__es5__tex-mml-svg.pretty.js","2120598","2128545","1","568"
"79278-2435c454.js","readable_js/79278-2435c454.pretty.js","1975050","2023222","1","4983"
"30803-7b1f840f.js","readable_js/30803-7b1f840f.pretty.js","1055724","1077760","1","1604"
"82017-1e48dc04.js","readable_js/82017-1e48dc04.pretty.js","905233","1678930","1","46502"
"61409-cf835457.js","readable_js/61409-cf835457.pretty.js","786275","789265","1","236"
"84027-f7869d26.js","readable_js/84027-f7869d26.pretty.js","640160","946757","1","22026"
"80575.32ea74f5.js","readable_js/80575.32ea74f5.pretty.js","628972","661122","1","2206"
"70650-b5e8d981.js","readable_js/70650-b5e8d981.pretty.js","535857","578042","1","3394"
"9862.d5cc01ba.js","readable_js/9862.d5cc01ba.pretty.js","505450","582222","1","4399"
"97620.c8167195.js","readable_js/97620.c8167195.pretty.js","462784","478842","1","1089"
"raw__www.googletagmanager.com__gtag__js__q_732b4fcc17.js","readable_js/raw__www.googletagmanager.com__gtag__js__q_732b4fcc17.pretty.js","450988","854964","954","21366"
"raw__www.googletagmanager.com__gtag__js__q_f844cdbeb7.js","readable_js/raw__www.googletagmanager.com__gtag__js__q_f844cdbeb7.pretty.js","450968","854943","954","21366"
"74927.c4fad5cf.js","readable_js/74927.c4fad5cf.pretty.js","437507","441793","1","284"
