route,category,source_count,source_files,sources_sample
/user/index,user,202,202,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html
/user/courses,user,192,192,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html
/user/resources/files,user,190,190,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html
/org/global-config,org,189,189,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html
/user/settings,user,187,187,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html
/course/,course,186,186,raw/ilearn.thu.edu.tw/static/10310.1168e67d.js; raw/ilearn.thu.edu.tw/static/10383.d04ce83a.js; raw/ilearn.thu.edu.tw/static/10409.3c0dcb73.js; raw/ilearn.thu.edu.tw/static/11708.a556fce2.js; raw/ilearn.thu.edu.tw/static/12159.7fb514eb.js; raw/ilearn.thu.edu.tw/static/12308.102041f5.js; raw/ilearn.thu.edu.tw/static/14279.f75486f1.js; raw/ilearn.thu.edu.tw/static/14433.8da36488.js; raw/ilearn.thu.edu.tw/static/14928.ccbfea64.js; raw/ilearn.thu.edu.tw/static/15471.49137ee2.js
/user/sites-menu,user,186,186,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html
/public-course#/all,public-course,185,185,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html
/learning-activity#/,learning-activity,58,58,raw/ilearn.thu.edu.tw/static/10409.3c0dcb73.js; raw/ilearn.thu.edu.tw/static/12159.7fb514eb.js; raw/ilearn.thu.edu.tw/static/14279.f75486f1.js; raw/ilearn.thu.edu.tw/static/17767.aae6c84c.js; raw/ilearn.thu.edu.tw/static/18464.45bffd86.js; raw/ilearn.thu.edu.tw/static/20152.3ad1066f.js; raw/ilearn.thu.edu.tw/static/20807.fed7a5e0.js; raw/ilearn.thu.edu.tw/static/25489.a2b39580.js; raw/ilearn.thu.edu.tw/static/26132-3e4ab0d2.js; raw/ilearn.thu.edu.tw/static/27124.080abd31.js
/learning-activity#/exam/,learning-activity,27,27,raw/ilearn.thu.edu.tw/static/10310.1168e67d.js; raw/ilearn.thu.edu.tw/static/12159.7fb514eb.js; raw/ilearn.thu.edu.tw/static/12308.102041f5.js; raw/ilearn.thu.edu.tw/static/17983.a5926995.js; raw/ilearn.thu.edu.tw/static/19332.1c341036.js; raw/ilearn.thu.edu.tw/static/28053.55204cf2.js; raw/ilearn.thu.edu.tw/static/31275.12236065.js; raw/ilearn.thu.edu.tw/static/35205.a1ccb6f5.js; raw/ilearn.thu.edu.tw/static/35655.2969eda4.js; raw/ilearn.thu.edu.tw/static/38941.c87e76c7.js
